0:00:04.375797630  6392 0000000008A69280 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:04.376007918  6392 0000000008A69280 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:04.376349205  6392 0000000008A69280 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:04.376418918  6392 0000000008A69280 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:04.408631315  6392 0000000008A69400 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:04.408778784  6392 0000000008A69400 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:04.409105899  6392 0000000008A69400 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:04.409164887  6392 0000000008A69400 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:04.434953727  6392 0000000008A69580 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:04.435121497  6392 0000000008A69580 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:04.435608340  6392 0000000008A69580 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:04.435670392  6392 0000000008A69580 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:04.438766876  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:04.441237092  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:04.442572747  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:04.634707203  6392 00000000028FF380 WARN           audiobasesink gstaudiobasesink.c:1316:gst_audio_base_sink_skew_slaving:<audioMainPreview-actual-sink-directsound> correct clock skew -21246871 < -20000000
0:00:05.637380812  6392 00000000028FF380 WARN           audiobasesink gstaudiobasesink.c:1605:gst_audio_base_sink_get_alignment:<audioMainPreview-actual-sink-directsound> Unexpected discontinuity in audio timestamps of -0:00:00.040000000, resyncing
0:00:06.885358847  6392 0000000008A696C0 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:06.885581393  6392 0000000008A696C0 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:06.886259754  6392 0000000008A696C0 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:06.886389221  6392 0000000008A696C0 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:06.922598242  6392 0000000008A69300 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:06.923294989  6392 0000000008A69300 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:06.923810942  6392 0000000008A69300 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:06.923863036  6392 0000000008A69300 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:06.957556642  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:06.962744517  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:06.969193738  6392 00000000028FF840 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:06.969364573  6392 00000000028FF840 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:06.969613931  6392 00000000028FF840 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:06.969659896  6392 00000000028FF840 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:06.992797725  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:07.536042207  6392 00000000028FF380 WARN           audiobasesink gstaudiobasesink.c:1316:gst_audio_base_sink_skew_slaving:<audioMainPreview-actual-sink-directsound> correct clock skew -20003608 < -20000000
0:00:07.600064044  6392 00000000028FF380 WARN           audiobasesink gstaudiobasesink.c:1288:gst_audio_base_sink_skew_slaving:<audioMainPreview-actual-sink-directsound> correct clock skew 20016063 > 20000000
0:00:07.664022679  6392 00000000028FF380 WARN           audiobasesink gstaudiobasesink.c:1316:gst_audio_base_sink_skew_slaving:<audioMainPreview-actual-sink-directsound> correct clock skew -20031476 < -20000000
0:00:07.770777832  6392 00000000028FF380 WARN           audiobasesink gstaudiobasesink.c:1288:gst_audio_base_sink_skew_slaving:<audioMainPreview-actual-sink-directsound> correct clock skew 20012975 > 20000000
0:00:07.813411177  6392 00000000028FF380 WARN           audiobasesink gstaudiobasesink.c:1316:gst_audio_base_sink_skew_slaving:<audioMainPreview-actual-sink-directsound> correct clock skew -20018605 < -20000000
0:00:08.197362932  6392 00000000028FF380 WARN           audiobasesink gstaudiobasesink.c:1288:gst_audio_base_sink_skew_slaving:<audioMainPreview-actual-sink-directsound> correct clock skew 20009855 > 20000000
0:00:08.346674056  6392 00000000028FF380 WARN           audiobasesink gstaudiobasesink.c:1316:gst_audio_base_sink_skew_slaving:<audioMainPreview-actual-sink-directsound> correct clock skew -20114793 < -20000000
0:00:08.367993601  6392 00000000028FF380 WARN           audiobasesink gstaudiobasesink.c:1288:gst_audio_base_sink_skew_slaving:<audioMainPreview-actual-sink-directsound> correct clock skew 20020535 > 20000000
0:00:08.496085154  6392 00000000028FF380 WARN           audiobasesink gstaudiobasesink.c:1316:gst_audio_base_sink_skew_slaving:<audioMainPreview-actual-sink-directsound> correct clock skew -20094279 < -20000000
0:00:09.412801839  6392 0000000008A69700 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:09.412884958  6392 0000000008A69700 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:09.413195219  6392 0000000008A69700 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:09.413254973  6392 0000000008A69700 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:09.437240467  6392 0000000008A69300 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:09.437580222  6392 0000000008A69300 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
